Munic�pio1,C�digo Munic�pio IBGE,Popula��o estimada (2020),UF1,Data,M�dia de �ndice De Isolamento
PIRACICABA,3538709,407252,SP,"sexta-feira, 20/11",38%
PIRACICABA,3538709,407252,SP,"quinta-feira, 19/11",32%
PIRACICABA,3538709,407252,SP,"quarta-feira, 18/11",34%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 17/11",35%
PIRACICABA,3538709,407252,SP,"segunda-feira, 16/11",34%
PIRACICABA,3538709,407252,SP,"domingo, 15/11",39%
PIRACICABA,3538709,407252,SP,"s�bado, 14/11",37%
PIRACICABA,3538709,407252,SP,"sexta-feira, 13/11",34%
PIRACICABA,3538709,407252,SP,"quinta-feira, 12/11",33%
PIRACICABA,3538709,407252,SP,"quarta-feira, 11/11",35%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 10/11",35%
PIRACICABA,3538709,407252,SP,"segunda-feira, 09/11",34%
PIRACICABA,3538709,407252,SP,"domingo, 08/11",41%
PIRACICABA,3538709,407252,SP,"s�bado, 07/11",37%
PIRACICABA,3538709,407252,SP,"sexta-feira, 06/11",33%
PIRACICABA,3538709,407252,SP,"quinta-feira, 05/11",33%
PIRACICABA,3538709,407252,SP,"quarta-feira, 04/11",35%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 03/11",35%
PIRACICABA,3538709,407252,SP,"segunda-feira, 02/11",43%
PIRACICABA,3538709,407252,SP,"domingo, 01/11",41%
PIRACICABA,3538709,407252,SP,"s�bado, 31/10",38%
PIRACICABA,3538709,407252,SP,"sexta-feira, 30/10",35%
PIRACICABA,3538709,407252,SP,"quinta-feira, 29/10",35%
PIRACICABA,3538709,407252,SP,"quarta-feira, 28/10",35%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 27/10",35%
PIRACICABA,3538709,407252,SP,"segunda-feira, 26/10",35%
PIRACICABA,3538709,407252,SP,"domingo, 25/10",42%
PIRACICABA,3538709,407252,SP,"s�bado, 24/10",37%
PIRACICABA,3538709,407252,SP,"sexta-feira, 23/10",35%
PIRACICABA,3538709,407252,SP,"quinta-feira, 22/10",35%
PIRACICABA,3538709,407252,SP,"quarta-feira, 21/10",36%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 20/10",35%
PIRACICABA,3538709,407252,SP,"segunda-feira, 19/10",35%
PIRACICABA,3538709,407252,SP,"domingo, 18/10",41%
PIRACICABA,3538709,407252,SP,"s�bado, 17/10",36%
PIRACICABA,3538709,407252,SP,"sexta-feira, 16/10",36%
PIRACICABA,3538709,407252,SP,"quinta-feira, 15/10",35%
PIRACICABA,3538709,407252,SP,"quarta-feira, 14/10",33%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 13/10",35%
PIRACICABA,3538709,407252,SP,"segunda-feira, 12/10",43%
PIRACICABA,3538709,407252,SP,"domingo, 11/10",40%
