,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),Bimestre,Ano,tempo,base = ultimo periodo
junho 2017,Fomento ao Trabalho,1.0079218320941155,1.0079218320941155,0.0010597578120303845,0.001750904211180635,0.0,873480.0,0.0010495288453229608,0.001319732530070751,0.0,873854.31,3.0,2017.0,2017-06-20,86.81228763366008
agosto 2017,Fomento ao Trabalho,1.0035923643396654,1.0035923643396654,0.006420697206369653,0.008164080513565413,0.0,867882.0,0.004853774110892358,0.006167837809064141,0.0,869622.46,4.0,2017.0,2017-08-20,87.18679327295646
outubro 2017,Fomento ao Trabalho,0.9977782727671836,0.9977782727671836,0.006383500309657936,0.008116783709207787,0.0,867882.0,0.004825654838411207,0.006132105797641646,0.0,869622.46,5.0,2017.0,2017-10-20,87.69483400087707
dezembro 2017,Fomento ao Trabalho,0.9906065618315804,0.4876161739959771,0.00012736370080691745,0.008185806566083705,0.0,423479.5,0.00013908116128115387,0.008185806566083705,0.0,423479.5,6.0,2017.0,2017-12-20,88.32971976100887
fevereiro 2018,Fomento ao Trabalho,0.5614879477280199,0.562500651441357,0.21345543824449975,0.21345543824449975,0.03,310200.0,0.030917416782169672,0.030917416782169672,0.01,472423.38,1.0,2018.0,2018-02-20,88.87100818799969
dezembro 2018,Fomento ao Trabalho,0.5443914165739262,0.2647771479007854,-0.014642132640322924,0.19231388283878292,0.01,66421.27,0.030837417265025546,0.19231388283878292,0.01,66421.27,6.0,2018.0,2018-12-20,91.66198893076003
fevereiro 2019,Fomento ao Trabalho,0.4331190154513137,0.4331190154513137,0.362998811809734,0.362998811809734,0.05,64758.37,0.03455026118573904,0.03455026118573904,0.01,368091.67,1.0,2019.0,2019-02-20,92.35336841149692
agosto 2019,Fomento ao Trabalho,0.425542453321515,0.425542453321515,0.0,0.356648864214259,0.03,64758.37,0.06454059832805555,0.2275676675581479,0.02,186091.69,4.0,2019.0,2019-08-20,93.99767211892802
outubro 2019,Fomento ao Trabalho,0.42528695763254076,0.42528695763254076,0.0002126434788162704,0.3566473757150011,0.02,64558.37,0.06471449163163566,0.29214552756218165,0.02,125225.03,5.0,2019.0,2019-10-20,94.05414222592046
dezembro 2019,Fomento ao Trabalho,0.41825213721590576,0.41825213721590576,-0.0002091260686079529,0.35053882057810976,0.02,64758.37,0.06322577443826881,0.35053882057810976,0.02,64758.37,6.0,2019.0,2019-12-20,95.63609230130871
outubro 2020,Fomento ao Trabalho,0.10227875532686935,0.10227875532686935,0.003838981941816377,0.003838981941816377,0.0,96246.55,0.0006709486349442628,0.0006709486349442628,0.0,99344.0,5.0,2020.0,2020-10-20,97.77201500000001
abril 2018,,,,,,,,,,,,,,,89.14718795924118
junho 2018,,,,,,,,,,,,,,,90.64736560099134
agosto 2018,,,,,,,,,,,,,,,90.86571318380062
outubro 2018,,,,,,,,,,,,,,,91.71669738885336
abril 2019,,,,,,,,,,,,,,,93.584685514989
junho 2019,,,,,,,,,,,,,,,93.71587555770597
fevereiro 2020,,,,,,,,,,,,,,,96.07754459935659
abril 2020,,,,,,,,,,,,,,,95.84771806554745
junho 2020,,,,,,,,,,,,,,,95.73378337527687
agosto 2020,,,,,,,,,,,,,,,96.3108161467056
fevereiro 2017,Cultura,9.43356616889895,9.746050878211026,3.487705923144485,3.487705923144485,0.49,5407474.63,0.4211353071081576,0.4211353071081576,0.19,8057121.29,1.0,2017.0,2017-02-20,86.40422777626367
abril 2017,Cultura,9.396808278321839,9.708075390964078,0.4426616994245063,3.9167777764394587,0.4,5023500.05,1.0831223626182198,1.5026167160022303,0.3,7117596.92,2.0,2017.0,2017-04-20,86.74221883194232
junho 2017,Cultura,9.389223832456157,9.700239712073769,0.7491374179014719,4.662753845494233,0.39,4373156.72,0.9161006369928211,2.417504545965065,0.3,6322309.0,3.0,2017.0,2017-06-20,86.81228763366008
agosto 2017,Cultura,9.348892984837269,9.658572914404939,1.0107890276925153,5.653514293808659,0.41,3491882.18,1.1299885028637575,3.537108803101902,0.33,5337108.26,4.0,2017.0,2017-08-20,87.18679327295646
outubro 2017,Cultura,9.29473223008607,9.602618097111375,1.0049332438341647,5.6207619025206235,0.41,3491882.18,1.1234421630698868,3.516617341415068,0.33,5337108.26,5.0,2017.0,2017-10-20,87.69483400087707
