,Receitas Orçamentárias,Previsao Inicial,Previsao Atualizada (a),Receitas Realizadas no Bimestre (b),% (b/a),Receitas Realizadas até o Bimestre (c),% (c/a),SALDO (a-c),Bimestre,Ano,tempo,base = ultimo periodo
agosto 2020,Exploração do Patrimônio Imobiliário do Estado,1350.0,1350.0,200.26274583333335,14.83,770.448275,57.07,579.551725,4,2020,2020-08-20,0.24
outubro 2020,Exploração do Patrimônio Imobiliário do Estado,376.74418604651163,376.74418604651163,58.23764418604651,15.46,273.24646511627907,72.53,103.49772093023256,5,2020,2020-10-20,0.86
fevereiro 2019,Valores Mobiliários,9038.837209302326,9038.837209302326,436.25608604651165,4.83,436.25608604651165,4.83,8602.581123255814,1,2019,2019-02-20,0.43
abril 2019,Valores Mobiliários,6818.771929824562,6818.771929824562,254.0967859649123,3.73,583.202254385965,8.55,6235.569675438596,2,2019,2019-04-20,0.57
junho 2019,Valores Mobiliários,388670.0,388670.0,22092.2579,5.68,55334.7864,14.24,333335.2136,3,2019,2019-06-20,0.01
agosto 2019,Valores Mobiliários,35333.63636363636,35333.63636363636,1565.2518363636364,4.43,6595.6869636363635,18.67,28737.9494,4,2019,2019-08-20,0.11
outubro 2019,Valores Mobiliários,38867.0,38867.0,1399.87227,3.6,8655.12793,22.27,30211.87207,5,2019,2019-10-20,0.1
dezembro 2019,Valores Mobiliários,3379.739130434783,3379.739130434783,300.8459243478261,8.9,1053.465744347826,31.17,2326.2733860869566,6,2019,2019-12-20,1.15
fevereiro 2020,Valores Mobiliários,5446.4,5446.4,680.4292,12.49,680.4292,12.49,4765.9708,1,2020,2020-02-20,0.25
abril 2020,Valores Mobiliários,-4392.25806451613,-4392.25806451613,-173.00984516129031,3.94,-721.7430709677419,16.43,-3670.514993548387,2,2020,2020-04-20,-0.31
junho 2020,Valores Mobiliários,5236.923076923076,5236.923076923076,173.33412307692308,3.31,1033.8739384615385,19.74,4203.049138461538,3,2020,2020-06-20,0.26
agosto 2020,Valores Mobiliários,5673.333333333334,5673.333333333334,652.730375,11.51,1772.7604749999998,31.25,3900.5728583333334,4,2020,2020-08-20,0.24
outubro 2020,Valores Mobiliários,1583.2558139534883,1583.2558139534883,59.72387209302325,3.77,554.4477255813954,35.02,1028.8080883720932,5,2020,2020-10-20,0.86
fevereiro 2019,Serviços Administrativos e Comerciais Gerais,60240.348837209305,60240.348837209305,9182.506311627907,15.24,9182.506311627907,15.24,51057.8425255814,1,2019,2019-02-20,0.43
abril 2019,Serviços Administrativos e Comerciais Gerais,45444.473684210534,45444.473684210534,7249.201357894737,15.95,14176.400633333335,31.19,31268.073050877196,2,2019,2019-04-20,0.57
junho 2019,Serviços Administrativos e Comerciais Gerais,2590335.0,2590335.0,399382.6697999999,15.42,1207434.1122,46.61,1382900.8878,3,2019,2019-06-20,0.01
agosto 2019,Serviços Administrativos e Comerciais Gerais,235485.0,235485.0,36513.04653636364,15.51,146279.78400909092,62.12,89205.21599090908,4,2019,2019-08-20,0.11
outubro 2019,Serviços Administrativos e Comerciais Gerais,259033.5,259033.5,41963.68857,16.2,202871.45098,78.32,56162.04902,5,2019,2019-10-20,0.1
dezembro 2019,Serviços Administrativos e Comerciais Gerais,22524.652173913044,22524.652173913044,3838.7403452173917,17.04,21479.736082608695,95.36,1044.916091304348,6,2019,2019-12-20,1.15
fevereiro 2020,Serviços Administrativos e Comerciais Gerais,109125.6,109125.6,16165.498332,14.81,16165.498332,14.81,92960.101668,1,2020,2020-02-20,0.25
abril 2020,Serviços Administrativos e Comerciais Gerais,-88004.51612903226,-88004.51612903226,-12841.907016129033,14.59,-25878.59921935484,29.41,-62125.91690967742,2,2020,2020-04-20,-0.31
