,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),SALDO (i) = (e-h),DESPESAS PAGASATÉ O BIMESTRE(j),Bimestre,Ano,tempo,base = ultimo periodo
agosto 2017,PESSOAL E ENCARGOS SOCIAIS,782.6015889591896,802.3880775848829,120.44872693950408,504.0447208543844,298.3433567304985,120.49614038922476,503.9499637446167,298.4381138402663,499.9165686472641,4,2017,2017-08-20,87.27652226062857
outubro 2017,PESSOAL E ENCARGOS SOCIAIS,778.0834760769839,797.7557334125615,119.7533527510177,501.13477155370816,296.62096185885343,119.80049247356865,501.04056149537035,296.71517191719124,497.0304519811363,5,2017,2017-10-20,87.7833125879698
dezembro 2017,PESSOAL E ENCARGOS SOCIAIS,772.5118732433534,799.2770212801985,167.23421733872735,787.9779303577793,11.299090922419177,165.60289237355403,786.0760458604357,13.200975419762813,828.072214310083,6,2017,2017-12-20,88.41643392901426
fevereiro 2018,PESSOAL E ENCARGOS SOCIAIS,831.5105278667364,831.8329431986522,123.48205880018209,123.48205880018209,708.35088439847,123.40769542078611,123.40769542078611,708.425247777866,119.53112234333622,1,2018,2018-02-20,88.95659468048812
abril 2018,PESSOAL E ENCARGOS SOCIAIS,828.9391751242844,828.8078437681285,127.44799643609134,250.5482008641417,578.2596429039868,125.37312163409572,248.39919264313323,580.4086511249953,289.9183112669251,2,2018,2018-04-20,89.2325362580551
junho 2018,PESSOAL E ENCARGOS SOCIAIS,815.3630541278341,814.1245781221389,146.34910854767534,392.79390497340995,421.33067314872903,146.47911039759583,390.8100944242909,423.314483697848,386.7540581159044,3,2018,2018-06-20,90.71829367976625
agosto 2018,PESSOAL E ENCARGOS SOCIAIS,813.4132780978352,812.4554522507865,122.55860867236849,514.4132263715151,298.0422258792714,124.33028537020583,514.205836402406,298.2496158483805,510.01123992352177,4,2018,2018-08-20,90.93574815126546
outubro 2018,PESSOAL E ENCARGOS SOCIAIS,805.9009914162494,813.2489799206386,124.00663699611069,633.6689947337385,179.57998518690005,124.01119686131959,633.4680799820276,179.7808999386111,628.5441014192311,5,2018,2018-10-20,91.78341482123231
dezembro 2018,PESSOAL E ENCARGOS SOCIAIS,806.3873639548185,827.3051292263876,174.83033096645352,808.8817538158836,18.423375410504164,175.03136697303194,808.8817538158836,18.423375410504164,793.3719703385432,6,2018,2018-12-20,91.72805565458292
fevereiro 2019,PESSOAL E ENCARGOS SOCIAIS,849.2075452348398,849.2009304544482,124.44727395978316,124.44727395978316,724.7536564946653,120.99413489268595,120.99413489268595,728.2067955617624,116.90494186346098,1,2019,2019-02-20,92.4172782500381
abril 2019,PESSOAL E ENCARGOS SOCIAIS,838.1086814929984,839.1324824730589,126.52411556638567,249.3449045232109,589.787577949848,127.27248642265876,246.68526770600468,592.4472147670541,241.91819187233858,2,2019,2019-04-20,93.64113716158379
junho 2019,PESSOAL E ENCARGOS SOCIAIS,836.9368610856867,840.4691385222932,152.17081561578541,401.1670929811687,439.3020455411245,153.01605000652938,399.3564091854369,441.1127293368563,412.91136827679884,3,2019,2019-06-20,93.77224692695782
agosto 2019,PESSOAL E ENCARGOS SOCIAIS,835.382341874845,839.6030119413041,126.05253921692996,526.1054465895274,313.4975653517765,127.13309827566744,525.3807414182256,314.22227052307846,520.0501766023538,4,2019,2019-08-20,94.05375965173477
outubro 2019,PESSOAL E ENCARGOS SOCIAIS,834.8817467794763,843.7878115963787,129.53034075315065,655.3205235490736,188.4672880473049,129.42827948173027,654.4941913791821,189.2936202171965,649.913822222737,5,2019,2019-10-20,94.11015428602192
dezembro 2019,PESSOAL E ENCARGOS SOCIAIS,821.2016361435338,853.7849220595982,178.96001624319314,823.5426630824975,30.24225897710073,179.77280839313607,823.5426630824975,30.24225897710073,810.1402742159898,6,2019,2019-12-20,95.67790240771876
fevereiro 2020,PESSOAL E ENCARGOS SOCIAIS,874.6655412163741,874.3516058890624,131.32982178781728,131.32982178781728,743.0217841012452,124.65104152246404,124.65104152246404,749.7005643665983,120.65372654365342,1,2020,2020-02-20,96.11852306778191
abril 2020,PESSOAL E ENCARGOS SOCIAIS,876.7716958810689,885.1746033958756,126.99838483364942,258.6444428326101,626.5301605632656,128.34455051688283,253.29574605272725,631.8788573431485,240.92861860819264,2,2020,2020-04-20,95.88763003522416
junho 2020,PESSOAL E ENCARGOS SOCIAIS,877.8337694019926,884.1138353405364,145.8272204563073,404.7849710922567,479.3288642482797,146.28179750253634,399.8843722383849,484.22946310215144,377.2381677009373,3,2020,2020-06-20,95.77161750939717
agosto 2020,PESSOAL E ENCARGOS SOCIAIS,872.5906861018536,881.4176492018106,123.40975421764982,525.7770451111521,355.64060409065837,113.32348134205694,510.8194434427253,370.5982057590853,505.7079266516924,4,2020,2020-08-20,96.34707468122883
outubro 2020,PESSOAL E ENCARGOS SOCIAIS,859.6486414193399,870.3631400079576,122.20926561163391,640.1881183752755,230.17502163268222,135.08162439392947,638.3247228595312,232.03841714842636,631.0382185440242,5,2020,2020-10-20,97.79758374443772
fevereiro 2016,JUROS E ENCARGOS DA DÍVIDA,0.24222817450482245,0.24222817450482245,0.1574483134281346,0.1574483134281346,0.08477986107668783,0.1102971701145413,0.1102971701145413,0.1319310043902811,0.1102971701145413,1,2016,2016-02-20,82.5667783728512
abril 2016,JUROS E ENCARGOS DA DÍVIDA,0.23972870785908085,0.9589148314363234,0.7970979536314439,0.9529216137398464,0.005993217696477021,0.12687281071736528,0.23603186344162136,0.7228829679947021,0.23603186344162136,2,2016,2016-04-20,83.42763859452558
junho 2016,JUROS E ENCARGOS DA DÍVIDA,0.23704364339722747,0.9481745735889099,0.0,0.9422484825039792,0.005926091084930686,0.12584777401962674,0.3592359792442077,0.5889385943447021,0.3592359792442077,3,2016,2016-06-20,84.37264848517734
agosto 2016,JUROS E ENCARGOS DA DÍVIDA,0.23478434184972857,0.9391373673989143,,0.933267758852671,0.005869608546243214,0.13045770824289402,0.486269750898076,0.4528676165008382,0.486269750898076,4,2016,2016-08-20,85.18455635683237
outubro 2016,JUROS E ENCARGOS DA DÍVIDA,0.23398829495124088,0.9359531798049635,0.0,0.9301034724311825,0.005849707373781022,0.17038776100932285,0.6550087923889628,0.28094438741600053,0.19595265524905484,5,2016,2016-10-20,85.47436103232282
dezembro 2016,JUROS E ENCARGOS DA DÍVIDA,0.2328692649852806,0.8884803000800419,-0.03717502823644846,0.8884803000800419,0.0,0.23660403390057777,0.8884803000800419,0.0,0.8884803000800419,6,2016,2016-12-20,85.88509952682755
fevereiro 2017,JUROS E ENCARGOS DA DÍVIDA,1.1561233513450273,1.1561233513450273,1.1561233513450273,1.1561233513450273,0.0,0.26893532140661436,0.26893532140661436,0.8871880299384131,,1,2017,2017-02-20,86.49596073261608
abril 2017,JUROS E ENCARGOS DA DÍVIDA,1.1516279715580504,1.1516279715580504,,1.1516279715580504,0.0,0.32255816569780676,0.590447779995012,0.5611801915630386,0.590447779995012,2,2017,2017-04-20,86.83359771533586
junho 2017,JUROS E ENCARGOS DA DÍVIDA,1.1507156036773627,1.1507156036773627,,1.1507156036773627,0.0,0.33610160038704207,0.9260816029374319,0.22463400073993098,0.9260816029374319,3,2017,2017-06-20,86.90244546995642
agosto 2017,JUROS E ENCARGOS DA DÍVIDA,1.1457835098123648,1.8103379455035367,0.6645544356911717,1.8103379455035367,0.0,0.4567164910738152,1.3788288062239444,0.4315091392795922,1.3788288062239444,4,2017,2017-08-20,87.27652226062857
outubro 2017,JUROS E ENCARGOS DA DÍVIDA,1.139168676276457,1.7998865085168023,0.6607178322403451,1.7998865085168023,0.0,0.45407977695139595,1.3708685563603558,0.42901795215644634,1.3708685563603558,5,2017,2017-10-20,87.7833125879698
dezembro 2017,JUROS E ENCARGOS DA DÍVIDA,1.1310114597053944,2.70877244599442,0.3699651359640024,2.6828835710615344,0.025888874932885674,0.6354036857571592,2.6828835710615344,0.025888874932885674,2.6828835710615344,6,2017,2017-12-20,88.41643392901426
fevereiro 2018,JUROS E ENCARGOS DA DÍVIDA,5.171061253549729,5.171061253549729,4.176194034116792,4.176194034116792,0.9948672194329369,0.6984998382995549,0.6984998382995549,4.472561415250174,0.6984998382995549,1,2018,2018-02-20,88.95659468048812
abril 2018,JUROS E ENCARGOS DA DÍVIDA,5.155070328492152,4.370603104591172,,4.16327962398877,0.20732348060240177,0.9000985780312796,1.5964383841789604,2.774164720412212,1.9838762005828303,2,2018,2018-04-20,89.2325362580551
junho 2018,JUROS E ENCARGOS DA DÍVIDA,5.070642109118484,4.299022657730888,,4.095094659864167,0.20392799786672164,0.5781594744842334,2.1484518622892845,2.1505707954416042,2.1484518622892845,3,2018,2018-06-20,90.71829367976625
agosto 2018,JUROS E ENCARGOS DA DÍVIDA,5.058516692850222,4.288742413503448,,4.085302068247516,0.20344034525593283,0.9496282348318513,3.092942508507707,1.1957999049957424,3.092942508507707,4,2018,2018-08-20,90.93574815126546
outubro 2018,JUROS E ENCARGOS DA DÍVIDA,5.01179870999513,5.338655147603508,1.0895214586945936,5.137093677745008,0.2015614698584998,1.266038327581587,4.330415933795212,1.0082392138082963,4.330415933795212,5,2018,2018-10-20,91.78341482123231
dezembro 2018,JUROS E ENCARGOS DA DÍVIDA,5.014823400729278,5.358229785779218,0.14278955229708512,5.282983538044595,0.07524624773462266,0.9499541375664865,5.282983538044595,0.07524624773462266,5.28295121423724,6,2018,2018-12-20,91.72805565458292
fevereiro 2019,JUROS E ENCARGOS DA DÍVIDA,5.8356025000095455,5.588895386018221,3.682428290944175,3.682428290944175,1.9064670950740465,0.507201530791464,0.507201530791464,5.081693855226757,0.45162457486658125,1,2019,2019-02-20,92.4172782500381
abril 2019,JUROS E ENCARGOS DA DÍVIDA,5.759333091709311,5.30226901391895,0.22852023852588246,3.8628204009935385,1.4394486129254116,0.6179766473803601,1.1185492207261492,4.1837197931928,1.1185492207261492,2,2019,2019-04-20,93.64113716158379
junho 2019,JUROS E ENCARGOS DA DÍVIDA,5.75128055127106,5.2948555278487435,,3.8574195122119064,1.4374360156368382,0.6767811061350973,1.7937664022386137,3.50108912561013,1.7937664022386137,3,2019,2019-06-20,93.77224692695782
agosto 2019,JUROS E ENCARGOS DA DÍVIDA,5.734066367968446,5.279007472306208,1.382188234488107,5.228062087265329,0.050945385040879886,1.1237878144518223,2.912185286523504,2.3668221857827043,2.912185286523504,4,2019,2019-08-20,94.05375965173477
outubro 2019,JUROS E ENCARGOS DA DÍVIDA,5.73063028205133,5.371476689578469,0.06588024477312836,5.290809464478324,0.08066722510014601,1.468585191986323,4.37902537857395,0.9924513110045189,4.072457896893758,5,2019,2019-10-20,94.11015428602192
dezembro 2019,JUROS E ENCARGOS DA DÍVIDA,5.636729970331075,5.283461356059351,-0.02540257404100368,5.178713344786148,0.10474801127320153,0.8714413036010868,5.178713344786148,0.10474801127320153,5.178713344786148,6,2019,2019-12-20,95.67790240771876
fevereiro 2020,JUROS E ENCARGOS DA DÍVIDA,5.722102071961146,5.722102071961146,5.722102071961146,5.722102071961146,0.0,1.2371731400423418,1.2371731400423418,4.4849289319188035,1.2371731400423418,1,2020,2020-02-20,96.11852306778191
abril 2020,JUROS E ENCARGOS DA DÍVIDA,5.735880632339733,5.735880632339733,0.0,5.735880632339733,0.0,1.3657069003780167,2.6058590968220905,3.1300215355176433,2.562550204961123,2,2020,2020-04-20,95.88763003522416
junho 2020,JUROS E ENCARGOS DA DÍVIDA,5.742828766007149,5.742828766007149,0.0,5.742828766007149,0.0,0.5371481482491649,3.146163840977573,2.5966649250295752,3.146163840977573,3,2020,2020-06-20,95.77161750939717
agosto 2020,JUROS E ENCARGOS DA DÍVIDA,5.708528274674807,5.500945428322996,-0.5180497712581241,5.190478503416683,0.31046692490631295,0.4895365443740781,3.6169091293427056,1.8840362989802903,3.6169091293427056,4,2020,2020-08-20,96.34707468122883
outubro 2020,JUROS E ENCARGOS DA DÍVIDA,5.6238608249999995,5.317104779999999,0.18609866729999996,5.299593304415129,0.017511475584869998,0.9860651593601849,4.549329205950905,0.7677755740490939,4.501180950956131,5,2020,2020-10-20,97.79758374443772
fevereiro 2016,OUTRAS DESPESAS CORRENTES,833.8534378693661,851.3271570386536,571.9138473922434,571.9138473922434,279.41330964641026,102.80332820628722,102.80332820628722,748.5238288323665,92.47570363615645,1,2016,2016-02-20,82.5667783728512
abril 2016,OUTRAS DESPESAS CORRENTES,825.2491999038526,845.1081284545248,83.41493801379929,645.2817212727936,199.82640718173147,126.94567237451399,227.43138681196064,617.6767416425643,221.22009745114678,2,2016,2016-04-20,83.42763859452558
junho 2016,OUTRAS DESPESAS CORRENTES,816.0060545224603,847.1337422643165,87.30411604056829,725.3574269243395,121.77631533997716,137.16539418616395,362.0484737701048,485.0852684942118,356.96241153661464,3,2016,2016-06-20,84.37264848517734
