,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),SALDO (i) = (e-h),DESPESAS PAGASATÉ O BIMESTRE(j),Bimestre,Ano,tempo,base = ultimo periodo
abril 2019,PESSOAL E ENCARGOS SOCIAIS,827.2929486160397,828.3035375173279,124.89133086115898,246.12712627904602,582.176411238282,125.6300440448019,243.50181188564935,584.8017256316784,238.7962548262898,2,2019,2019-04-20,94.86536798275618
junho 2019,PESSOAL E ENCARGOS SOCIAIS,826.1348460360606,829.6215337564009,150.20680671998497,395.98938701876676,433.6321467376342,151.04113200272596,394.202073006971,435.41946074942996,407.58208357006276,3,2019,2019-06-20,94.99835332762892
agosto 2019,PESSOAL E ENCARGOS SOCIAIS,824.5964158232814,828.762591279377,124.42502891601275,519.3127073157906,309.44988396358633,125.49163648269962,518.5973590772309,310.16523220214617,513.335619127573,4,2019,2019-08-20,95.28400620266395
outubro 2019,PESSOAL E ENCARGOS SOCIAIS,824.101328135221,832.8923933038864,127.85777897318775,646.8586909395059,186.03370236438056,127.75703556892343,646.0430287917642,186.84936451212226,641.5218036964297,5,2019,2019-10-20,95.34124908861676
dezembro 2019,PESSOAL E ENCARGOS SOCIAIS,810.4695796310715,842.627043616903,176.62123740586335,812.780012337997,29.847031278905984,177.4234074005375,812.780012337997,29.847031278905984,799.5527755759018,6,2019,2019-12-20,96.94484774587804
fevereiro 2020,PESSOAL E ENCARGOS SOCIAIS,863.2255776919119,862.9157484011641,129.61212708037814,129.61212708037814,733.3036213207861,123.02070020786267,123.02070020786267,739.8950481933016,119.07566708468545,1,2020,2020-02-20,97.3923412056326
abril 2020,PESSOAL E ENCARGOS SOCIAIS,865.295445878869,873.5883659615561,125.33607613792685,255.25899106498215,618.3293748965738,126.66462157406771,249.98030450750983,623.6080614540463,237.7750530074535,2,2020,2020-04-20,97.15936955453364
junho 2020,PESSOAL E ENCARGOS SOCIAIS,866.3252512949183,872.5229847291923,143.91540609506552,399.4781859904939,473.0447987386985,144.3640235754292,394.6418346429395,477.8811500862529,372.2925248753905,3,2020,2020-06-20,97.04387569718891
agosto 2020,PESSOAL E ENCARGOS SOCIAIS,861.13478483732,869.8458621968612,121.78955590254569,518.8743242686236,350.97153792823764,111.83570175205531,504.1130950925885,365.7327671042727,499.06868540297523,4,2020,2020-08-20,97.62880501439999
outubro 2020,PESSOAL E ENCARGOS SOCIAIS,848.2651599233176,858.8377769448089,120.59096849964686,631.7107367470488,227.12704019776007,133.29287129452123,629.8720163454748,228.96576059933406,622.6820000403593,5,2020,2020-10-20,99.11
fevereiro 2016,JUROS E ENCARGOS DA DÍVIDA,0.2392644608067558,0.2392644608067558,0.15552189952439127,0.15552189952439127,0.08374256128236454,0.1089476605680375,0.1089476605680375,0.1303168002387183,0.1089476605680375,1,2016,2016-02-20,83.58951401542743
abril 2016,JUROS E ENCARGOS DA DÍVIDA,0.23678238632117252,0.9471295452846901,0.7873014345178987,0.9412099856266609,0.005919559658029313,0.12531351438556643,0.23313097698083304,0.713998568303857,0.23313097698083304,2,2016,2016-04-20,84.46574219786739
junho 2016,JUROS E ENCARGOS DA DÍVIDA,0.23411320951488984,0.9364528380595594,0.0,0.9306000078216871,0.005852830237872245,0.12429199055410733,0.35479495197072847,0.5816578860888307,0.35479495197072847,3,2016,2016-06-20,85.42875492349346
agosto 2016,JUROS E ENCARGOS DA DÍVIDA,0.2318710792137806,0.9274843168551224,,0.921687539874778,0.005796776980344516,0.12883895648116592,0.48023599462147665,0.4472483222336459,0.48023599462147665,4,2016,2016-08-20,86.25482775952575
outubro 2016,JUROS E ENCARGOS DA DÍVIDA,0.23108319983629852,0.9243327993451941,0.0,0.9185557193492866,0.005777079995907463,0.16827230197639434,0.6468764931070267,0.2774563062381674,0.19351979380338877,5,2016,2016-10-20,86.54891404553938
dezembro 2016,JUROS E ENCARGOS DA DÍVIDA,0.2299752483263634,0.8774385819309597,-0.036713030166334745,0.8774385819309597,0.0,0.233663602857784,0.8774385819309597,0.0,0.8774385819309597,6,2016,2016-12-20,86.96588065693713
fevereiro 2017,JUROS E ENCARGOS DA DÍVIDA,1.141726539764301,1.141726539764301,1.141726539764301,1.141726539764301,0.0,0.2655863611549347,0.2655863611549347,0.8761401786093664,,1,2017,2017-02-20,87.5866475177533
abril 2017,JUROS E ENCARGOS DA DÍVIDA,1.1372778023021097,1.1372778023021097,,1.1372778023021097,0.0,0.3185388431501033,0.5830903470487979,0.5541874552533118,0.5830903470487979,2,2017,2017-04-20,87.92926389451829
junho 2017,JUROS E ENCARGOS DA DÍVIDA,1.1363598712695375,1.1363598712695375,,1.1363598712695375,0.0,0.33190857074394087,0.9145282880809252,0.22183158318861235,0.9145282880809252,3,2017,2017-06-20,88.00029156985306
agosto 2017,JUROS E ENCARGOS DA DÍVIDA,1.1314787056240914,1.7877363548860645,0.656257649261973,1.7877363548860645,0.0,0.45101450643324714,1.361614493124418,0.42612186176164657,1.361614493124418,4,2017,2017-08-20,88.37992222296648
