,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),Bimestre,Ano,tempo,base = ultimo periodo
junho 2020,Assistência Social,47.52283404663723,49.33321907853975,1.9969573000639507,40.00158781902862,3.2,9055776.64,6.7302863195407125,20.921301982365193,2.54,27572025.51,3.0,2020.0,2020-06-20,97.04387569718891
agosto 2020,Assistência Social,47.238107639643566,51.344367548702884,2.0367808042992066,41.79870471013242,2.99,9319316.56,6.381613110066285,27.177568040586415,2.53,23593757.57,4.0,2020.0,2020-08-20,97.62880501439999
outubro 2020,Assistência Social,46.53213601049339,52.79678385632126,1.090874563616184,42.26489930380386,2.73,10438150.78,7.318901725355666,34.09030209867823,2.56,18539994.07,5.0,2020.0,2020-10-20,99.11
fevereiro 2017,Previdência Social,106.50025162921402,106.50025162921402,15.71653777159332,15.71653777159332,2.24,79514411.46,15.713527346974125,15.713527346974125,7.19,79517048.19,1.0,2017.0,2017-02-20,87.5866475177533
abril 2017,Previdência Social,106.0852733987408,106.0852733987408,16.344352646054563,31.999650928220873,3.28,65142942.49,16.34512283332784,31.997422420994482,6.5,65144902.0,2.0,2017.0,2017-04-20,87.92926389451829
junho 2017,Previdência Social,105.99964879202247,105.99964879202247,20.659533162533545,52.633356212500715,4.47,46962493.07,20.659671809801434,52.63126815123726,6.61,46964330.57,3.0,2017.0,2017-06-20,88.00029156985306
agosto 2017,Previdência Social,105.54433366061525,105.54433366061525,16.80131536271179,69.20858815160307,5.12,32113503.62,16.80136524960792,69.20655894637763,6.52,32115297.03,4.0,2017.0,2017-08-20,88.37992222296648
outubro 2017,Previdência Social,104.93288578330588,104.93288578330588,16.703980638447298,68.80764342203615,5.12,32113503.62,16.70403023633467,68.80562597256475,6.52,32115297.03,5.0,2017.0,2017-10-20,88.89491535821291
dezembro 2017,Previdência Social,104.17866177881895,108.54549890955631,21.898152357173384,107.46803068687878,6.29,964748.77,21.899888939966978,107.46803068687878,6.56,964748.77,6.0,2017.0,2017-12-20,89.53848936746968
fevereiro 2018,Previdência Social,120.79520497045047,120.79520497045047,18.002576089094458,18.002576089094458,2.29,92602985.94,17.72611879999151,17.72611879999151,7.9,92852038.53,1.0,2018.0,2018-02-20,90.08718518803816
abril 2018,Previdência Social,120.42097900954792,120.42097900954792,18.33453118210296,36.28133493042187,3.63,76034593.67,18.37998951794921,36.05119244737597,7.31,76242566.86,2.0,2018.0,2018-04-20,90.36714440875939
junho 2018,Previdência Social,118.42805997533152,118.42805997533152,22.825213382785535,58.506106732642905,4.99,55060995.47,22.86957774574675,58.32413737859563,7.6,55228203.2,3.0,2018.0,2018-06-20,91.88785159755834
agosto 2018,Previdência Social,118.14348090005258,118.14348090005258,18.436514840882367,76.80203315422992,5.74,38079271.5,18.481039899936448,76.66502612613543,7.44,38205467.56,4.0,2018.0,2018-08-20,92.10918721115112
outubro 2018,Previdência Social,117.04729842686953,120.05896378185831,18.500644044971036,94.59007721478277,6.3,23678886.59,18.544200846744687,94.49789819447138,7.31,23764587.1,5.0,2018.0,2018-10-20,92.97181691723601
dezembro 2018,Previdência Social,117.11715810693562,120.13062097439152,23.284887020313796,117.9314203226822,6.93,2043417.19,23.37712105767345,117.9314203226822,7.21,2043417.19,6.0,2018.0,2018-12-20,92.9163597878966
fevereiro 2019,Previdência Social,135.9472395642153,135.9472395642153,19.161511283422797,19.161511283422797,2.45,109331529.54,18.868758030617407,18.868758030617407,8.15,109605596.94,1.0,2019.0,2019-02-20,93.61720061986506
abril 2019,Previdência Social,134.15854774645902,134.15854774645902,19.462897527953665,38.37229601704264,3.79,90867980.18,19.462999187813367,38.08349625183244,7.56,91141951.14,2.0,2019.0,2019-04-20,94.86536798275618
junho 2019,Previdência Social,133.9707432202252,133.9707432202252,24.526511885573484,62.845091676590755,5.2,67568197.76,24.526560875896333,62.55674518383072,7.7,67842122.18,3.0,2019.0,2019-06-20,94.99835332762892
agosto 2019,Previdência Social,133.56911098941785,134.24603466811806,19.76953513051737,82.42622287831995,5.96,49375992.68,19.76967282414008,82.13887851601673,7.53,49649785.9,4.0,2019.0,2019-08-20,95.28400620266395
outubro 2019,Previdência Social,133.4889160951798,134.1654333489033,19.94386843235753,102.32060260646134,6.54,30361259.4,19.944220703806888,102.0337830371626,7.4,30634716.76,5.0,2019.0,2019-10-20,95.34124908861676
dezembro 2019,Previdência Social,131.2808292129288,131.94615595797742,24.389493778956734,125.0175754854937,7.02,6716901.79,24.671568965372842,125.0175754854937,7.26,6716901.79,6.0,2019.0,2019-12-20,96.94484774587804
fevereiro 2020,Previdência Social,154.2215723953798,154.2215723953798,20.27280946898329,20.27280946898329,2.47,130455836.23,19.963631122644706,19.963631122644706,8.12,130756952.26,1.0,2020.0,2020-02-20,97.3923412056326
abril 2020,Previdência Social,154.59136950831663,154.59136950831663,20.21525499810482,40.53667521781713,3.85,110814821.92,20.215573927716473,40.227074443976,7.64,111115628.08,2.0,2020.0,2020-04-20,97.15936955453364
junho 2020,Previdência Social,154.77535178899586,154.77535178899586,25.498182345077936,66.08310107080528,5.29,86070397.54,25.498286287752602,65.77323577756587,8.0,86371102.83,3.0,2020.0,2020-06-20,97.04387569718891
agosto 2020,Previdência Social,153.84803693730134,153.84803693730134,20.452283920769975,86.13945734314368,6.16,66103077.15,20.452831730404558,85.83199637406216,8.0,66403247.62,4.0,2020.0,2020-08-20,97.62880501439999
outubro 2020,Previdência Social,151.54878417919483,151.54878417919483,20.239363646453434,105.09147024518212,6.8,46043843.84,20.239081929169615,104.78832255070125,7.88,46344293.52,5.0,2020.0,2020-10-20,99.11
fevereiro 2017,Saúde,438.57369917274053,440.9882106535817,212.45333761893616,212.45333761893616,30.3,200166033.7,59.65426594208825,59.65426594208825,27.3,333997618.02,1.0,2017.0,2017-02-20,87.5866475177533
