Data,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),DESPESAS PAGASATÉ O BIMESTRE(j),Bimestre,Ano,tempo
agosto 2019,FU15 - Administração Geral,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,FU15 - Demais Subfunções,"150.000,00","58.000,00",,"39.000,00","0,00","19.000,00",,,,"58.000,00",,04,2019,2019-08-20
agosto 2019,Habitação,"9.820.000,00","9.820.000,00","627.842,82","6.706.236,31","0,51","3.113.763,69","1.106.381,66","5.804.635,31","0,56","4.015.364,69",,04,2019,2019-08-20
agosto 2019,Habitação Rural,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,FU16 - Administração Geral,"6.970.000,00","7.520.000,00","511.941,88","5.331.963,94","0,40","2.188.036,06","984.582,51","4.549.670,33","0,44","2.970.329,67",,04,2019,2019-08-20
agosto 2019,FU16 - Demais Subfunções,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Saneamento,"225.163.950,00","234.704.950,00","18.137.831,96","187.389.028,75","14,22","47.315.921,25","32.095.178,44","118.131.639,41","11,36","116.573.310,59",,04,2019,2019-08-20
agosto 2019,Saneamento Básico Rural,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Saneamento Básico Urbano,"125.008.150,00","132.823.150,00","6.901.829,47","112.579.661,04","8,54","20.243.488,96","17.238.011,71","61.511.935,32","5,92","71.311.214,68",,04,2019,2019-08-20
agosto 2019,FU17 - Administração Geral,"86.846.000,00","87.026.000,00","6.942.338,95","63.211.577,03","4,80","23.814.422,97","12.839.041,76","49.617.067,09","4,77","37.408.932,91",,04,2019,2019-08-20
agosto 2019,FU17 - Demais Subfunções,"13.309.800,00","14.855.800,00","4.293.663,54","11.597.790,68","0,88","3.258.009,32","2.018.124,97","7.002.637,00","0,67","7.853.163,00",,04,2019,2019-08-20
agosto 2019,Gestão Ambiental,"134.595.000,00","136.245.313,00","4.466.545,63","115.043.130,95","8,73","21.202.182,05","22.988.622,19","90.300.981,92","8,69","45.944.331,08",,04,2019,2019-08-20
agosto 2019,Preservação e Conservação Ambiental,"30.140.000,00","32.112.313,00","304.948,57","27.908.591,88","2,12","4.203.721,12","4.718.214,39","18.379.231,46","1,77","13.733.081,54",,04,2019,2019-08-20
agosto 2019,Controle Ambiental,"93.320.000,00","92.895.000,00","2.946.902,64","79.623.084,68","6,04","13.271.915,32","16.597.972,74","65.124.015,26","6,26","27.770.984,74",,04,2019,2019-08-20
agosto 2019,Recuperação de Áreas Degradadas,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Recursos Hídricos,"250.000,00","250.000,00",,"48.891,80","0,00","201.108,20",,"48.891,80","0,00","201.108,20",,04,2019,2019-08-20
agosto 2019,Meteorologia,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,FU18 - Administração Geral,"10.095.000,00","10.209.000,00","1.168.694,42","6.964.629,88","0,53","3.244.370,12","1.585.449,32","6.343.092,50","0,61","3.865.907,50",,04,2019,2019-08-20
agosto 2019,FU18 - Demais Subfunções,"790.000,00","779.000,00","46.000,00","497.932,71","0,04","281.067,29","86.985,74","405.750,90","0,04","373.249,10",,04,2019,2019-08-20
agosto 2019,Ciência e Tecnologia,"600.000,00","600.000,00","0,00","500.000,00","0,04","100.000,00","0,00","500.000,00","0,05","100.000,00",,04,2019,2019-08-20
agosto 2019,Desenvolvimento Científico,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Desenvolvimento Tecnológico e Engenharia,"600.000,00","600.000,00","0,00","500.000,00","0,04","100.000,00","0,00","500.000,00","0,05","100.000,00",,04,2019,2019-08-20
agosto 2019,Difusão do Conhecimento Científico e Tecnológico,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,FU19 - Administração Geral,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,FU19 - Demais Subfunções,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Agricultura,"11.155.000,00","12.023.000,00","786.219,84","6.626.523,67","0,50","5.396.476,33","1.380.690,09","4.516.651,21","0,43","7.506.348,79",,04,2019,2019-08-20
agosto 2019,Abastecimento,"1.845.000,00","1.845.000,00","82.500,00","917.573,66","0,07","927.426,34","327.553,39","633.208,54","0,06","1.211.791,46",,04,2019,2019-08-20
agosto 2019,Extensão Rural,"4.960.000,00","5.828.000,00","69.600,00","3.155.117,02","0,24","2.672.882,98","417.047,06","1.341.085,20","0,13","4.486.914,80",,04,2019,2019-08-20
agosto 2019,Irrigação,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Promoção da Produção Agropecuária,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Defesa Agropecuária,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,FU20 - Administração Geral,"4.350.000,00","4.350.000,00","634.119,84","2.553.832,99","0,19","1.796.167,01","636.089,64","2.542.357,47","0,24","1.807.642,53",,04,2019,2019-08-20
agosto 2019,FU20 - Demais Subfunções,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Organização Agrária,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Reforma Agrária,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Colonização,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,FU21 - Administração Geral,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,FU21 - Demais Subfunções,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Indústria,"300.000,00","300.000,00",,,,"300.000,00",,,,"300.000,00",,04,2019,2019-08-20
agosto 2019,Promoção Industrial,"300.000,00","300.000,00",,,,"300.000,00",,,,"300.000,00",,04,2019,2019-08-20
agosto 2019,Produção Industrial,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Mineração,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Propriedade Industrial,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Normalização e Qualidade,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,FU22 - Administração Geral,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,FU22 - Demais Subfunções,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Comércio e Serviços,"2.650.000,00","2.345.000,00","81.229,00","1.278.531,31","0,10","1.066.468,69","282.536,80","828.631,00","0,08","1.516.369,00",,04,2019,2019-08-20
agosto 2019,Promoção Comercial,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Comercialização,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Comércio Exterior,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Serviços Financeiros,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Turismo,"2.650.000,00","2.345.000,00","81.229,00","1.278.531,31","0,10","1.066.468,69","282.536,80","828.631,00","0,08","1.516.369,00",,04,2019,2019-08-20
agosto 2019,FU23 - Administração Geral,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,FU23 - Demais Subfunções,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Comunicações,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Comunicações Postais,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Telecomunicações,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,FU24 - Administração Geral,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Energia,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Conservação de Energia,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Energia Elétrica,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Combustíveis Minerais,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Biocombustíveis,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,FU25 - Administração Geral,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,FU25 - Demais Subfunções,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Transporte,"410.000,00","410.000,00","-8.387,00","295.582,77","0,02","114.417,23","50.179,98","151.195,07","0,01","258.804,93",,04,2019,2019-08-20
agosto 2019,Transporte Aéreo,"410.000,00","410.000,00","-8.387,00","295.582,77","0,02","114.417,23","50.179,98","151.195,07","0,01","258.804,93",,04,2019,2019-08-20
agosto 2019,Transporte Rodoviário,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Transporte Ferroviário,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Transporte Hidroviário,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Transportes Especiais,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,FU26 - Administração Geral,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,FU26 - Demais Subfunções,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Desporto e Lazer,"17.069.000,00","18.114.143,17","1.669.130,81","11.586.454,99","0,88","6.527.688,18","2.477.310,11","8.661.799,88","0,83","9.452.343,29",,04,2019,2019-08-20
agosto 2019,Desporto de Rendimento,"6.285.000,00","5.681.700,00","35.181,91","3.315.134,78","0,25","2.366.565,22","678.820,33","2.629.926,23","0,25","3.051.773,77",,04,2019,2019-08-20
agosto 2019,Desporto Comunitário,"800.000,00","995.143,17","0,00","640.140,64","0,05","355.002,53","159.745,70","322.409,64","0,03","672.733,53",,04,2019,2019-08-20
agosto 2019,Lazer,"3.320.000,00","4.773.300,00","690.505,33","3.605.339,14","0,27","1.167.960,86","670.218,93","1.732.049,60","0,17","3.041.250,40",,04,2019,2019-08-20
agosto 2019,FU27 - Administração Geral,"6.664.000,00","6.664.000,00","943.443,57","4.025.840,43","0,31","2.638.159,57","968.525,15","3.977.414,41","0,38","2.686.585,59",,04,2019,2019-08-20
agosto 2019,FU27 - Demais Subfunções,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Encargos Especiais,"51.251.650,00","54.329.823,01","3.342.597,89","48.520.848,62","3,68","5.808.974,39","8.897.957,44","38.562.115,72","3,71","15.767.707,29",,04,2019,2019-08-20
agosto 2019,Refinanciamento da Dívida Interna,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Refinanciamento da Dívida Externa,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Serviço da Dívida Interna,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Serviço da Dívida Externa,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Transferências,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Outros Encargos Especiais,"51.251.650,00","54.329.823,01","3.342.597,89","48.520.848,62","3,68","5.808.974,39","8.897.957,44","38.562.115,72","3,71","15.767.707,29",,04,2019,2019-08-20
agosto 2019,Transferências para a Educação Básica,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,FU28 - Demais Subfunções,,,,,,,,,,,,04,2019,2019-08-20
agosto 2019,Reserva de Contingência,"4.725.000,00","4.725.000,00",,,,"4.725.000,00",,,,"4.725.000,00",,04,2019,2019-08-20
agosto 2019,DESPESAS (INTRA-ORÇAMENTÁRIAS) (II),"37.843.400,00","37.218.400,00","5.383.987,46","22.819.963,90","1,73","14.398.436,10","5.646.344,36","22.537.876,06","2,17","14.680.523,94",,04,2019,2019-08-20
agosto 2019,TOTAL (III) = (I + II),"1.754.870.900,00","1.816.571.002,08","169.954.911,11","1.317.857.505,58","100,00","498.713.496,50","267.428.619,77","1.039.673.449,78","100,00","776.897.552,30",,04,2019,2019-08-20
junho 2019,Legislativa,"39.059.000,00","39.059.000,00","5.799.173,16","19.827.525,99","1,73","19.231.474,01","5.860.117,60","15.389.948,80","1,99","23.669.051,20","0,00",03,2019,2019-06-20
junho 2019,Ação Legislativa,"39.059.000,00","39.059.000,00","5.799.173,16","19.827.525,99","1,73","19.231.474,01","5.860.117,60","15.389.948,80","1,99","23.669.051,20",,03,2019,2019-06-20
junho 2019,Controle Externo,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,FU01 - Administração Geral,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,FU01 - Demais Subfunções,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Judiciária,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",03,2019,2019-06-20
junho 2019,Ação Judiciária,,,,,,,,,,"0,00",,03,2019,2019-06-20
junho 2019,Defesa do Interesse Público no Processo Judiciário,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,FU02 - Administração Geral,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,FU02 - Demais Subfunções,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Essencial à Justiça,"1.550.000,00","1.430.300,00","283.558,95","1.298.118,93","0,11","132.181,07","236.510,86","731.811,30","0,09","698.488,70","0,00",03,2019,2019-06-20
junho 2019,Defesa da Ordem Jurídica,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Representação Judicial e Extrajudicial,"1.550.000,00","1.430.300,00","283.558,95","1.298.118,93","0,11","132.181,07","236.510,86","731.811,30","0,09","698.488,70",,03,2019,2019-06-20
junho 2019,FU03 - Administração Geral,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,FU03 - Demais Subfunções,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Administração,"82.403.900,00","90.769.749,49","11.674.468,33","46.406.093,91","4,04","44.363.655,58","13.877.716,04","36.018.564,20","4,66","54.751.185,29","0,00",03,2019,2019-06-20
junho 2019,Planejamento e Orçamento,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,FU04 - Administração Geral,"76.352.900,00","81.926.541,32","10.302.093,84","41.772.975,41","3,64","40.153.565,91","12.999.135,42","33.991.403,94","4,40","47.935.137,38",,03,2019,2019-06-20
junho 2019,Administração Financeira,"3.020.000,00","2.990.000,00","318.031,36","2.026.073,14","0,18","963.926,86","404.473,75","1.101.372,23","0,14","1.888.627,77",,03,2019,2019-06-20
junho 2019,Controle Interno,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Normatização e Fiscalização,"400.000,00","742.208,17",,"17.923,87","0,00","724.284,30",,"17.923,87","0,00","724.284,30",,03,2019,2019-06-20
junho 2019,Tecnologia da Informação,"750.000,00","3.230.000,00","1.049.093,13","1.235.084,69","0,11","1.994.915,31","14.495,06","139.766,93","0,02","3.090.233,07",,03,2019,2019-06-20
junho 2019,Ordenamento Territorial,"200.000,00","200.000,00",,"95.792,00","0,01","104.208,00","19.158,40","47.896,00","0,01","152.104,00",,03,2019,2019-06-20
junho 2019,Formação de Recursos Humanos,"200.000,00","200.000,00",,"180.000,00","0,02","20.000,00","15.556,29","42.339,96","0,01","157.660,04",,03,2019,2019-06-20
junho 2019,Administração de Receitas,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Administração de Concessões,"1.000,00","1.000,00",,,,"1.000,00",,,,"1.000,00",,03,2019,2019-06-20
junho 2019,Comunicação Social,"1.480.000,00","1.480.000,00","5.250,00","1.078.244,80","0,09","401.755,20","424.897,12","677.861,27","0,09","802.138,73",,03,2019,2019-06-20
junho 2019,FU04 - Demais Subfunções,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Defesa Nacional,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",03,2019,2019-06-20
junho 2019,Defesa Aérea,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Defesa Naval,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Defesa Terrestre,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,FU05 - Administração Geral,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,FU05 - Demais Subfunções,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Segurança Pública,"43.495.000,00","43.888.006,35","7.246.465,78","21.625.678,56","1,88","22.262.327,79","7.662.299,44","20.146.623,27","2,61","23.741.383,08","0,00",03,2019,2019-06-20
junho 2019,Policiamento,"42.315.000,00","42.743.006,35","7.215.825,78","20.749.862,51","1,81","21.993.143,84","7.520.651,68","19.779.419,55","2,56","22.963.586,80",,03,2019,2019-06-20
junho 2019,Defesa Civil,"955.000,00","955.000,00","30.400,00","736.740,86","0,06","218.259,14","122.271,86","305.825,86","0,04","649.174,14",,03,2019,2019-06-20
junho 2019,Informação e Inteligência,"5.000,00","5.000,00",,,,"5.000,00",,,,"5.000,00",,03,2019,2019-06-20
junho 2019,FU06 - Administração Geral,"220.000,00","185.000,00","240,00","139.075,19","0,01","45.924,81","19.375,90","61.377,86","0,01","123.622,14",,03,2019,2019-06-20
junho 2019,FU06 - Demais Subfunções,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Relações Exteriores,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",03,2019,2019-06-20
junho 2019,Relações Diplomáticas,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Cooperação Internacional,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,FU07 - Administração Geral,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,FU07 - Demais Subfunções,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Assistência Social,"44.746.300,00","46.384.026,23","1.948.075,34","38.820.900,60","3,38","7.563.125,63","7.628.217,27","20.340.527,83","2,63","26.043.498,40","0,00",03,2019,2019-06-20
junho 2019,Assistência ao Idoso,"3.635.000,00","3.484.058,88",,"3.401.715,44","0,30","82.343,44","566.952,56","1.700.857,68","0,22","1.783.201,20",,03,2019,2019-06-20
junho 2019,Assistência ao Portador de Deficiência,"5.000,00","5.000,00",,,,"5.000,00",,,,"5.000,00",,03,2019,2019-06-20
junho 2019,Assistência à Criança e ao Adolescente,"12.510.000,00","12.387.519,62","-117.656,18","11.290.208,10","0,98","1.097.311,52","1.832.383,06","5.350.879,89","0,69","7.036.639,73",,03,2019,2019-06-20
junho 2019,Assistência Comunitária,"18.681.300,00","20.592.447,73","199.803,27","18.498.094,00","1,61","2.094.353,73","3.569.127,55","9.012.333,42","1,17","11.580.114,31",,03,2019,2019-06-20
junho 2019,FU08 - Demais Subfunções,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Previdência Social,"127.270.000,00","127.270.000,00","23.299.782,42","59.701.802,24","5,20","67.568.197,76","23.299.828,96","59.427.877,82","7,70","67.842.122,18","0,00",03,2019,2019-06-20
junho 2019,Previdência Básica,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Previdência do Regime Estatutário,"127.270.000,00","127.270.000,00","23.299.782,42","59.701.802,24","5,20","67.568.197,76","23.299.828,96","59.427.877,82","7,70","67.842.122,18",,03,2019,2019-06-20
junho 2019,Previdência Complementar,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Previdência Especial,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,FU09 - Administração Geral,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,FU09 - Demais Subfunções,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Saúde,"416.929.000,00","441.044.187,18","42.209.097,16","297.273.449,80","25,90","143.770.737,38","71.662.961,88","198.963.387,49","25,76","242.080.799,69","0,00",03,2019,2019-06-20
junho 2019,Atenção Básica,"58.400.000,00","67.265.838,61","1.608.963,29","47.339.833,18","4,12","19.926.005,43","10.389.678,29","21.698.053,89","2,81","45.567.784,72",,03,2019,2019-06-20
junho 2019,Assistência Hospitalar e Ambulatorial,"104.550.000,00","114.795.509,02","896.628,02","108.111.342,33","9,42","6.684.166,69","17.265.571,90","63.523.697,65","8,23","51.271.811,37",,03,2019,2019-06-20
junho 2019,Suporte Profilático e Terapêutico,"4.444.000,00","6.740.028,00","395.280,00","1.789.636,90","0,16","4.950.391,10","266.510,48","266.510,48","0,03","6.473.517,52",,03,2019,2019-06-20
junho 2019,Vigilância Sanitária,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Vigilância Epidemiológica,"2.200.000,00","3.760.155,48","531.592,30","2.040.086,32","0,18","1.720.069,16","574.211,97","1.189.275,41","0,15","2.570.880,07",,03,2019,2019-06-20
junho 2019,Alimentação e Nutrição,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,FU10 - Administração Geral,"247.335.000,00","248.482.656,07","38.776.633,55","137.992.551,07","12,02","110.490.105,00","43.166.989,24","112.285.850,06","14,54","136.196.806,01",,03,2019,2019-06-20
junho 2019,FU10 - Demais Subfunções,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Trabalho,"10.018.000,00","9.534.791,83","322.092,39","6.961.210,49","0,61","2.573.581,34","1.002.868,43","2.950.094,48","0,38","6.584.697,35","0,00",03,2019,2019-06-20
junho 2019,Proteção e Benefícios ao Trabalhador,"8.418.000,00","7.940.791,83","22.962,50","6.188.338,93","0,54","1.752.452,90","911.270,38","2.716.626,57","0,35","5.224.165,26",,03,2019,2019-06-20
junho 2019,Relações de Trabalho,"1.200.000,00","1.194.000,00","299.129,89","437.629,93","0,04","756.370,07","30.931,39","80.226,26","0,01","1.113.773,74",,03,2019,2019-06-20
junho 2019,Empregabilidade,,"400.000,00",,,,"400.000,00",,,,"400.000,00",,03,2019,2019-06-20
junho 2019,Fomento ao Trabalho,"400.000,00",,,"335.241,63","0,03","-335.241,63","60.666,66","153.241,65","0,02","-153.241,65",,03,2019,2019-06-20
junho 2019,FU11 - Administração Geral,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,FU11 - Demais Subfunções,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Educação,"399.036.000,00","401.585.812,08","49.527.101,65","233.981.956,35","20,38","167.603.855,73","70.189.417,69","172.554.117,57","22,34","229.031.694,51","0,00",03,2019,2019-06-20
junho 2019,Ensino Fundamental,"117.835.000,00","117.848.300,00","14.683.959,70","70.637.813,01","6,15","47.210.486,99","20.987.221,80","50.594.887,30","6,55","67.253.412,70",,03,2019,2019-06-20
junho 2019,Ensino Médio,"3.365.000,00","3.365.000,00","8.000,00","3.194.400,00","0,28","170.600,00","951.339,06","1.289.025,07","0,17","2.075.974,93",,03,2019,2019-06-20
junho 2019,Ensino Profissional,"2.354.000,00","2.896.000,00","587.131,89","1.516.696,10","0,13","1.379.303,90","573.100,61","1.498.020,87","0,19","1.397.979,13",,03,2019,2019-06-20
junho 2019,Ensino Superior,"15.736.000,00","15.982.000,00","2.493.074,40","7.109.869,21","0,62","8.872.130,79","2.621.535,14","7.026.917,53","0,91","8.955.082,47",,03,2019,2019-06-20
junho 2019,Educação Infantil,"208.114.000,00","208.923.812,08","31.629.012,63","113.303.182,12","9,87","95.620.629,96","35.628.464,61","91.359.134,94","11,83","117.564.677,14",,03,2019,2019-06-20
junho 2019,Educação de Jovens e Adultos,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Educação Especial,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Educação Básica,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,FU12 - Administração Geral,"16.859.000,00","17.811.000,00","2.622.997,35","9.881.600,00","0,86","7.929.400,00","3.029.723,13","8.265.532,44","1,07","9.545.467,56",,03,2019,2019-06-20
junho 2019,FU12 - Demais Subfunções,"34.773.000,00","34.759.700,00","-2.497.074,32","28.338.395,91","2,47","6.421.304,09","6.398.033,34","12.520.599,42","1,62","22.239.100,58",,03,2019,2019-06-20
junho 2019,Cultura,"7.571.000,00","7.626.000,00","521.875,01","4.006.012,35","0,35","3.619.987,65","830.419,03","2.093.568,88","0,27","5.532.431,12","0,00",03,2019,2019-06-20
junho 2019,Patrimônio Histórico Artístico e Arqueológico,"1.072.000,00","1.072.000,00","29.509,17","256.291,35","0,02","815.708,65","93.249,90","129.766,71","0,02","942.233,29",,03,2019,2019-06-20
junho 2019,Difusão Cultural,"6.499.000,00","6.554.000,00","492.365,84","3.749.721,00","0,33","2.804.279,00","737.169,13","1.963.802,17","0,25","4.590.197,83",,03,2019,2019-06-20
junho 2019,FU13 - Administração Geral,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,FU13 - Demais Subfunções,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Direitos da Cidadania,"500.000,00","500.000,00","62.860,64","112.978,61","0,01","387.021,39","20.424,39","59.959,50","0,01","440.040,50","0,00",03,2019,2019-06-20
junho 2019,Custódia e Reintegração Social,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Direitos Individuais Coletivos e Difusos,"500.000,00","500.000,00","62.860,64","112.978,61","0,01","387.021,39","20.424,39","59.959,50","0,01","440.040,50",,03,2019,2019-06-20
junho 2019,Assistência aos Povos Indígenas,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,FU14 - Administração Geral,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,FU14 - Demais Subfunções,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Urbanismo,"86.709.700,00","94.221.670,28","11.505.285,09","51.607.563,78","4,50","42.614.106,50","11.939.341,75","28.498.024,36","3,69","65.723.645,92","0,00",03,2019,2019-06-20
junho 2019,Infra-Estrutura Urbana,"17.730.000,00","20.520.669,52","2.748.690,64","5.830.009,80","0,51","14.690.659,72","1.407.910,01","2.395.752,35","0,31","18.124.917,17",,03,2019,2019-06-20
junho 2019,Serviços Urbanos,"47.929.800,00","52.743.100,76","3.294.077,66","34.718.160,08","3,02","18.024.940,68","7.922.462,62","20.388.347,29","2,64","32.354.753,47",,03,2019,2019-06-20
junho 2019,Transportes Coletivos Urbanos,"20.899.900,00","20.899.900,00","5.423.516,79","11.020.393,90","0,96","9.879.506,10","2.608.969,12","5.713.924,72","0,74","15.185.975,28",,03,2019,2019-06-20
junho 2019,FU15 - Administração Geral,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,FU15 - Demais Subfunções,"150.000,00","58.000,00","39.000,00","39.000,00","0,00","19.000,00",,,,"58.000,00",,03,2019,2019-06-20
junho 2019,Habitação,"9.820.000,00","9.820.000,00","1.006.898,23","6.078.393,49","0,53","3.741.606,51","1.498.621,30","4.698.253,65","0,61","5.121.746,35","0,00",03,2019,2019-06-20
junho 2019,Habitação Rural,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,FU16 - Administração Geral,"6.970.000,00","6.970.000,00","825.987,35","4.820.022,06","0,42","2.149.977,94","1.249.219,97","3.565.087,82","0,46","3.404.912,18",,03,2019,2019-06-20
junho 2019,FU16 - Demais Subfunções,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Saneamento,"225.163.950,00","231.049.950,00","14.509.562,69","169.251.196,79","14,74","61.798.753,21","34.753.104,69","86.036.460,97","11,14","145.013.489,03","0,00",03,2019,2019-06-20
junho 2019,Saneamento Básico Rural,,,,,,,,,,,,03,2019,2019-06-20
junho 2019,Saneamento Básico Urbano,"132.117.450,00","137.632.450,00","5.590.118,93","109.759.123,31","9,56","27.873.326,69","19.575.697,96","46.796.915,01","6,06","90.835.534,99",,03,2019,2019-06-20
junho 2019,FU17 - Administração Geral,"86.846.000,00","86.891.000,00","8.081.798,27","56.269.238,08","4,90","30.621.761,92","14.215.155,40","36.778.025,33","4,76","50.112.974,67",,03,2019,2019-06-20
junho 2019,FU17 - Demais Subfunções,"6.200.500,00","6.526.500,00","837.645,49","3.222.835,40","0,28","3.303.664,60","962.251,33","2.461.520,63","0,32","4.064.979,37",,03,2019,2019-06-20
junho 2019,Gestão Ambiental,"134.595.000,00","136.195.313,00","2.951.080,26","110.576.585,32","9,63","25.618.727,68","22.733.438,00","67.312.359,73","8,72","68.882.953,27","0,00",03,2019,2019-06-20
junho 2019,Preservação e Conservação Ambiental,"30.140.000,00","32.148.313,00","1.298.823,07","27.603.643,31","2,40","4.544.669,69","3.969.688,05","13.661.017,07","1,77","18.487.295,93",,03,2019,2019-06-20
