Data,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),DESPESAS PAGASATÉ O BIMESTRE(j),Bimestre,Ano,tempo
dezembro 2018,Previdência Complementar,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Previdência Especial,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU09 - Administração Geral,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU09 - Demais Subfunções,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Saúde,"400.493.000,00","419.492.554,96","47.296.853,44","395.631.759,79","25,02","23.860.795,17","71.884.106,13","377.823.511,54","24,86","41.669.043,42","17.808.248,25",06,2018,2018-12-20
dezembro 2018,Atenção Básica,"66.240.000,00","64.142.958,13","1.749.141,42","52.487.509,22","3,32","11.655.448,91","4.869.397,22","42.542.997,31","2,80","21.599.960,82","9.944.511,91",06,2018,2018-12-20
dezembro 2018,Assistência Hospitalar e Ambulatorial,"93.559.000,00","107.680.326,82","7.606.815,70","105.808.619,78","6,69","1.871.707,04","20.721.570,73","103.201.220,01","6,79","4.479.106,81","2.607.399,77",06,2018,2018-12-20
dezembro 2018,Suporte Profilático e Terapêutico,"4.314.000,00","5.418.044,94","-102,90","2.314.586,89","0,15","3.103.458,05","615.748,90","2.309.470,89","0,15","3.108.574,05","5.116,00",06,2018,2018-12-20
dezembro 2018,Vigilância Sanitária,,,,,,,,,,,"0,00",06,2018,2018-12-20
dezembro 2018,Vigilância Epidemiológica,"2.730.000,00","3.236.438,54","36.800,80","2.562.226,12","0,16","674.212,42","449.210,40","1.252.651,64","0,08","1.983.786,90","1.309.574,48",06,2018,2018-12-20
dezembro 2018,Alimentação e Nutrição,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU10 - Administração Geral,"233.650.000,00","239.014.786,53","37.904.198,42","232.458.817,78","14,70","6.555.968,75","45.228.178,88","228.517.171,69","15,04","10.497.614,84","3.941.646,09",06,2018,2018-12-20
dezembro 2018,FU10 - Demais Subfunções,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Trabalho,"9.848.000,00","8.472.122,08","-765.236,95","6.708.241,51","0,42","1.763.880,57","1.188.748,13","6.703.093,81","0,44","1.769.028,27","5.147,70",06,2018,2018-12-20
dezembro 2018,Proteção e Benefícios ao Trabalhador,"8.150.000,00","7.644.322,08","-748.052,96","6.489.686,10","0,41","1.154.635,98","1.125.080,26","6.484.538,40","0,43","1.159.783,68","5.147,70",06,2018,2018-12-20
dezembro 2018,Relações de Trabalho,"1.199.000,00","585.100,00","-3.762,72","42.276,68","0,00","542.823,32","35.401,68","42.276,68","0,00","542.823,32","0,00",06,2018,2018-12-20
dezembro 2018,Empregabilidade,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Fomento ao Trabalho,"499.000,00","242.700,00","-13.421,27","176.278,73","0,01","66.421,27","28.266,19","176.278,73","0,01","66.421,27","0,00",06,2018,2018-12-20
dezembro 2018,FU11 - Administração Geral,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU11 - Demais Subfunções,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Educação,"380.565.900,00","396.888.712,32","58.659.377,99","365.275.757,27","23,10","31.612.955,05","85.892.024,59","360.416.383,96","23,72","36.472.328,36","4.859.373,31",06,2018,2018-12-20
dezembro 2018,Ensino Fundamental,"116.864.000,00","123.072.787,58","18.359.759,22","110.306.882,84","6,98","12.765.904,74","25.213.689,40","108.683.745,82","7,15","14.389.041,76","1.623.137,02",06,2018,2018-12-20
dezembro 2018,Ensino Médio,"3.150.000,00","3.068.000,00","44.405,96","3.011.365,96","0,19","56.634,04","1.428.557,44","3.011.365,96","0,20","56.634,04","0,00",06,2018,2018-12-20
dezembro 2018,Ensino Profissional,"2.325.000,00","2.790.505,00","575.525,98","2.735.456,57","0,17","55.048,43","575.525,98","2.735.456,57","0,18","55.048,43","0,00",06,2018,2018-12-20
dezembro 2018,Ensino Superior,"16.685.000,00","15.507.510,00","2.855.027,97","14.610.756,19","0,92","896.753,81","2.979.274,24","14.610.756,19","0,96","896.753,81","0,00",06,2018,2018-12-20
dezembro 2018,Educação Infantil,"191.344.000,00","200.458.458,66","37.618.665,74","186.960.626,08","11,83","13.497.832,58","44.764.036,35","184.346.203,84","12,13","16.112.254,82","2.614.422,24",06,2018,2018-12-20
dezembro 2018,Educação de Jovens e Adultos,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Educação Especial,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Educação Básica,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU12 - Administração Geral,"17.128.000,00","18.899.985,00","2.858.789,61","17.127.186,01","1,08","1.772.798,99","3.618.806,94","16.554.500,36","1,09","2.345.484,64","572.685,65",06,2018,2018-12-20
dezembro 2018,FU12 - Demais Subfunções,"33.069.900,00","33.091.466,08","-3.652.796,49","30.523.483,62","1,93","2.567.982,46","7.312.134,24","30.474.355,22","2,01","2.617.110,86","49.128,40",06,2018,2018-12-20
dezembro 2018,Cultura,"7.199.000,00","7.525.000,00","166.909,23","4.949.938,61","0,31","2.575.061,39","736.210,34","4.330.472,15","0,28","3.194.527,85","619.466,46",06,2018,2018-12-20
dezembro 2018,Patrimônio Histórico Artístico e Arqueológico,"750.000,00","750.000,00","37.399,84","183.121,24","0,01","566.878,76","58.293,46","174.807,58","0,01","575.192,42","8.313,66",06,2018,2018-12-20
dezembro 2018,Difusão Cultural,"6.449.000,00","6.775.000,00","129.509,39","4.766.817,37","0,30","2.008.182,63","677.916,88","4.155.664,57","0,27","2.619.335,43","611.152,80",06,2018,2018-12-20
dezembro 2018,FU13 - Administração Geral,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU13 - Demais Subfunções,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Direitos da Cidadania,"550.000,00","696.000,00","-21.624,25","232.381,03","0,01","463.618,97","86.643,89","227.381,03","0,01","468.618,97","5.000,00",06,2018,2018-12-20
dezembro 2018,Custódia e Reintegração Social,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Direitos Individuais Coletivos e Difusos,"550.000,00","696.000,00","-21.624,25","232.381,03","0,01","463.618,97","86.643,89","227.381,03","0,01","468.618,97","5.000,00",06,2018,2018-12-20
dezembro 2018,Assistência aos Povos Indígenas,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU14 - Administração Geral,,,,,,,,,,"0,00","0,00",06,2018,2018-12-20
dezembro 2018,FU14 - Demais Subfunções,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Urbanismo,"90.177.000,00","96.964.181,32","4.818.735,89","69.702.582,46","4,41","27.261.598,86","12.302.151,74","56.296.033,32","3,70","40.668.148,00","13.406.549,14",06,2018,2018-12-20
dezembro 2018,Infra-Estrutura Urbana,"24.400.000,00","22.523.471,10","5.054,30","8.067.145,84","0,51","14.456.325,26","1.023.363,49","4.248.775,09","0,28","18.274.696,01","3.818.370,75",06,2018,2018-12-20
dezembro 2018,Serviços Urbanos,"43.998.000,00","52.458.552,68","4.467.661,16","48.726.831,30","3,08","3.731.721,38","9.288.574,95","43.388.645,58","2,86","9.069.907,10","5.338.185,72",06,2018,2018-12-20
dezembro 2018,Transportes Coletivos Urbanos,"21.679.000,00","21.824.628,64","346.020,43","12.751.076,42","0,81","9.073.552,22","1.981.232,60","8.629.893,79","0,57","13.194.734,85","4.121.182,63",06,2018,2018-12-20
dezembro 2018,FU15 - Administração Geral,,,"0,00",,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU15 - Demais Subfunções,"100.000,00","157.528,90","0,00","157.528,90","0,01","0,00","8.980,70","28.718,86","0,00","128.810,04","128.810,04",06,2018,2018-12-20
dezembro 2018,Habitação,"8.000.000,00","10.079.950,00","999.305,37","9.294.533,87","0,59","785.416,13","1.401.204,09","9.294.533,87","0,61","785.416,13","0,00",06,2018,2018-12-20
dezembro 2018,Habitação Rural,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU16 - Administração Geral,"6.050.000,00","6.634.950,00","882.313,31","6.112.655,26","0,39","522.294,74","1.098.812,03","6.112.655,26","0,40","522.294,74","0,00",06,2018,2018-12-20
dezembro 2018,FU16 - Demais Subfunções,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Saneamento,"209.136.000,00","226.237.314,07","8.867.640,43","200.892.814,65","12,71","25.344.499,42","45.776.276,78","182.700.707,74","12,02","43.536.606,33","18.192.106,91",06,2018,2018-12-20
dezembro 2018,Saneamento Básico Rural,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Saneamento Básico Urbano,"110.617.000,00","119.713.314,07","309.289,90","103.400.202,00","6,54","16.313.112,07","18.253.814,95","86.322.237,35","5,68","33.391.076,72","17.077.964,65",06,2018,2018-12-20
dezembro 2018,FU17 - Administração Geral,"90.739.000,00","98.095.000,00","8.260.301,66","91.105.620,78","5,76","6.989.379,22","25.821.401,09","90.388.300,03","5,95","7.706.699,97","717.320,75",06,2018,2018-12-20
dezembro 2018,FU17 - Demais Subfunções,"7.780.000,00","8.429.000,00","298.048,87","6.386.991,87","0,40","2.042.008,13","1.701.060,74","5.990.170,36","0,39","2.438.829,64","396.821,51",06,2018,2018-12-20
dezembro 2018,Gestão Ambiental,"128.280.000,00","134.885.783,87","8.985.133,61","131.432.581,07","8,31","3.453.202,80","22.789.779,87","129.056.584,29","8,49","5.829.199,58","2.375.996,78",06,2018,2018-12-20
dezembro 2018,Preservação e Conservação Ambiental,"28.975.000,00","28.518.540,00","-211.418,99","27.188.893,90","1,72","1.329.646,10","4.707.140,81","26.591.160,40","1,75","1.927.379,60","597.733,50",06,2018,2018-12-20
dezembro 2018,Controle Ambiental,"88.890.000,00","95.319.466,27","7.424.527,40","94.379.620,89","5,97","939.845,38","16.216.550,45","92.724.101,61","6,10","2.595.364,66","1.655.519,28",06,2018,2018-12-20
dezembro 2018,Recuperação de Áreas Degradadas,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Recursos Hídricos,"125.000,00","125.000,00",,,,"125.000,00",,,,"125.000,00","0,00",06,2018,2018-12-20
dezembro 2018,Meteorologia,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU18 - Administração Geral,"9.630.000,00","10.212.777,60","1.772.025,20","9.741.322,28","0,62","471.455,32","1.866.088,61","9.741.322,28","0,64","471.455,32","0,00",06,2018,2018-12-20
dezembro 2018,FU18 - Demais Subfunções,"660.000,00","710.000,00","0,00","122.744,00","0,01","587.256,00",,,,"710.000,00","122.744,00",06,2018,2018-12-20
dezembro 2018,Ciência e Tecnologia,"600.000,00","550.000,00","0,00","500.000,00","0,03","50.000,00","0,00","500.000,00","0,03","50.000,00","0,00",06,2018,2018-12-20
dezembro 2018,Desenvolvimento Científico,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Desenvolvimento Tecnológico e Engenharia,"600.000,00","550.000,00",,"500.000,00","0,03","50.000,00",,"500.000,00","0,03","50.000,00","0,00",06,2018,2018-12-20
dezembro 2018,Difusão do Conhecimento Científico e Tecnológico,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU19 - Administração Geral,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU19 - Demais Subfunções,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Agricultura,"9.160.000,00","9.941.065,50","537.682,24","7.609.868,60","0,48","2.331.196,90","1.416.990,93","7.321.629,55","0,48","2.619.435,95","288.239,05",06,2018,2018-12-20
dezembro 2018,Abastecimento,"1.125.000,00","1.255.045,50","24.472,98","996.168,56","0,06","258.876,94","243.025,26","989.100,74","0,07","265.944,76","7.067,82",06,2018,2018-12-20
dezembro 2018,Extensão Rural,"3.820.000,00","4.436.020,00","-220.517,70","2.556.590,20","0,16","1.879.429,80","430.134,65","2.275.418,97","0,15","2.160.601,03","281.171,23",06,2018,2018-12-20
dezembro 2018,Irrigação,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Promoção da Produção Agropecuária,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Defesa Agropecuária,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU20 - Administração Geral,"4.215.000,00","4.250.000,00","733.726,96","4.057.109,84","0,26","192.890,16","743.831,02","4.057.109,84","0,27","192.890,16","0,00",06,2018,2018-12-20
dezembro 2018,FU20 - Demais Subfunções,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Organização Agrária,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",06,2018,2018-12-20
dezembro 2018,Reforma Agrária,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Colonização,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU21 - Administração Geral,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU21 - Demais Subfunções,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Indústria,"400.000,00","335.000,00","0,00","0,00","0,00","335.000,00","0,00","0,00","0,00","335.000,00","0,00",06,2018,2018-12-20
dezembro 2018,Promoção Industrial,"400.000,00","335.000,00",,,,"335.000,00",,,,"335.000,00","0,00",06,2018,2018-12-20
