,Data,Homens,Mulheres,Total Casos Confirmados,Total Casos Descartados,Total Casos Recuperados,Total Casos Suspeitos,Total Casos em Tratamento,Total Óbitos
179,25/setembro/2020,41,66,14.481,23.269,13.256,675,887,338
180,26/setembro/2020,34,64,14.579,23.619,13.341,596,900,338
181,27/setembro/2020,52,69,14.700,23.772,13.462,604,899,339
182,28/setembro/2020,32,53,14.785,24.118,13.513,690,931,341
183,29/setembro/2020,44,67,14.896,24.720,13.667,778,887,342
184,30/setembro/2020,42,69,15.007,25.286,13.683,750,982,342
185,31/setembro/2020,NA,NA,NA,NA,NA,NA,NA,NA
186,01/outubro/2020,45,59,15.111,25.779,13.800,836,967,344
187,02/outubro/2020,31,55,15.197,26.254,13.833,903,1.018,346
188,03/outubro/2020,43,67,15.307,26.732,13.950,861,1.009,348
189,04/outubro/2020,58,47,15.412,26.968,14.043,653,1.020,349
190,05/outubro/2020,40,38,15.490,27.454,14.148,730,992,350
191,06/outubro/2020,24,40,15.554,27.798,14.248,743,955,351
192,07/outubro/2020,34,27,15.615,28.219,14.409,793,854,352
193,08/outubro/2020,36,45,15.696,28.717,14.512,797,831,353
194,09/outubro/2020,47,57,15.800,29.227,14.631,819,814,355
195,10/outubro/2020,36,44,15.880,29.602,14.711,879,814,355
196,11/outubro/2020,19,30,15.929,30.106,14.832,838,742,355
197,12/outubro/2020,23,30,15.982,30.621,14.936,813,814,357
198,13/outubro/2020,11,20,16.013,31.315,15.074,527,582,357
199,14/outubro/2020,35,31,16.079,31.816,15.104,550,617,358
200,15/outubro/2020,28,21,16.128,31.937,15.217,629,552,359
201,16/outubro/2020,24,15,16.167,32.034,15.276,694,532,359
202,17/outubro/2020,15,24,16.206,32.241,15.334,560,511,361
203,18/outubro/2020,63,29,16.298,32.384,15.397,551,540,361
204,19/outubro/2020,54,29,16.381,32.535,15.478,692,542,361
205,20/outubro/2020,48,52,16.481,32.712,15.532,700,587,362
206,21/outubro/2020,62,26,16.569,33.036,15.556,787,649,364
207,22/outubro/2020,39,36,16.644,33.233,15.597,866,683,364
208,23/outubro/2020,29,32,16.705,33.484,15.624,913,717,364
209,24/outubro/2020,NA,NA,NA,NA,NA,NA,NA,NA
210,25/outubro/2020,NA,NA,NA,NA,NA,NA,NA,NA
211,26/outubro/2020,NA,NA,NA,NA,NA,NA,NA,NA
212,27/outubro/2020,NA,NA,NA,NA,NA,NA,NA,NA
213,28/outubro/2020,NA,NA,NA,NA,NA,NA,NA,NA
214,29/outubro/2020,NA,NA,NA,NA,NA,NA,NA,NA
215,30/outubro/2020,NA,NA,NA,NA,NA,NA,NA,NA
216,31/outubro/2020,NA,NA,NA,NA,NA,NA,NA,NA
